last_name,first_name,dob,gender,team_cat,country_short,team_short,team_long,code
BAGUES KALPARSORO,Aritz,19/08/1989,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10007609127
BAI,Yue,13/12/1992,Female,CTW,(Chn),GPC,CHINA LIV PRO CYCLING,10006840302
BAK YTTING,Lars,16/01/1980,Male,WTT,(Den),TDD,TEAM DIMENSION DATA,10034996267
BAKELANTS,Jan,14/02/1986,Male,WTT,(Bel),SUN,TEAM SUNWEB,10003038104
BAKS,Marissa,05/12/1998,Female,CTW,(Ned),BPC,BIEHLER PRO CYCLING,10015762581
BALDUCCI,Francesca,01/05/1996,Female,CTW,(Ita),CZF,CONCERIA ZABRI - FANINI,10008138583
BALDUCCI,Michela,30/03/1995,Female,CTW,(Ita),VAI,AROMITALIA - BASSO BIKES - VAIANO,10009387257
BALLERINI,Davide,21/09/1994,Male,WTT,(Ita),AST,ASTANA PRO TEAM,10008661777
BALSAMO,Elisa,27/02/1998,Female,CTW,(Ita),VAL,VALCAR CYLANCE CYCLING,10010182657
BANASZEK,Alan,30/10/1997,Male,PCT,(Pol),CJR,CAJA RURAL - SEGUROS RGA,10010994932
BANKS,Elizabeth,07/11/1990,Female,CTW,(GBr),BIG,BIGLA,10018611755
BARBERO,Carlos,29/04/1991,Male,WTT,(Spa),MOV,MOVISTAR TEAM,10007992174
BARBIERI,Rachele,21/02/1997,Female,CTW,(Ita),BPK,BEPINK,10010714743
BARBIN,Enrico,04/03/1990,Male,PCT,(Ita),BRD,BARDIANI CSF,10006467860
BARCELO ARAGON,Fernando,06/01/1996,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10074643908
BARDET,Romain,09/11/1990,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10006491708
BARGUIL,Warren,28/10/1991,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10007856677
BARIANI,Giorgia,19/11/2000,Female,CTW,(Ita),ALE,ALE CIPOLLINI,10029808282
BARKER,Elinor,07/09/1994,Female,CTW,(GBr),DRP,DROPS,10008091194
BARKER,Megan,15/08/1997,Female,CTW,(GBr),DRP,DROPS,10009968146
BARNES,Alice,17/07/1995,Female,CTW,(GBr),CSR,CANYON / /SRAM RACING,10008130503
BARNES,Hannah,04/05/1993,Female,CTW,(GBr),CSR,CANYON / /SRAM RACING,10007348237
BARRENETXEA URIARTE,Ander,29/03/1992,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10009804963
BARRERA ESPARZA,Anet,09/09/1998,Female,CTW,(Mex),SWA,SWAPIT AGOLICO,10015717115
BARTA,William,04/01/1996,Male,WTT,(USA),CPT,CCC TEAM,10010089596
BARTHE,Cyril,14/02/1996,Male,PCT,(Fra),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10025143592
BASKA,Erik,12/01/1994,Male,WTT,(Svk),BOH,BORA - HANSGROHE,10008662282
BASSO,Leonardo,25/12/1993,Male,WTT,(Ita),SKY,TEAM SKY,10008915492
BASTERRA ASPE,Andere,05/10/2000,Female,CTW,(Spa),SWT,SOPELA WOMEN'S TEAM,10043361812
BASTIANELLI,Marta,30/04/1987,Female,CTW,(Ita),TVC,TEAM VIRTU CYCLING,10003267163
BATTAGLIN,Enrico,17/11/1989,Male,WTT,(Ita),TKA,TEAM KATUSHA ALPECIN,10005467447
BAUER,Jack,07/04/1985,Male,WTT,(NZl),MTS,MITCHELTON - SCOTT,10004439449
BAUHAUS,Phil,08/07/1994,Male,WTT,(Ger),TBM,BAHRAIN - MERIDA,10008662484
BAYMETOVA,Renata,09/08/1998,Female,CTW,(Uzb),CGS,COGEAS METTLER LOOK PRO CYCLING TEAM,10010590360
BECKER,Charlotte,19/05/1983,Female,CTW,(Ger),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10002523701
BEEKHUIS,Teuntje,18/08/1995,Female,CTW,(Ned),BPC,BIEHLER PRO CYCLING,10079063367
BEGGIN,Sofia,12/10/1997,Female,CTW,(Ita),VAI,AROMITALIA - BASSO BIKES - VAIANO,10009638548
BEHRINGER,Oliver,20/03/1996,Male,PCT,(Swi),TNN,TEAM NOVO NORDISK,10014460862
BELLETTI,Manuel,14/10/1985,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10003073062
BENEDETTI,Cesare,03/08/1987,Male,WTT,(Ita),BOH,BORA - HANSGROHE,10004694073
BENHAMOUDA,Mehdi,02/01/1995,Male,PCT,(Fra),TNN,TEAM NOVO NORDISK,10010957243
BENNATI,Daniele,24/09/1980,Male,WTT,(Ita),MOV,MOVISTAR TEAM,10001481555
BENNETT,George,07/04/1990,Male,WTT,(NZl),TJV,TEAM JUMBO - VISMA,10006444521
BENNETT,Sam,16/10/1990,Male,WTT,(Irl),BOH,BORA - HANSGROHE,10006599519
BENNETT,Sean,31/03/1996,Male,WTT,(USA),EF1,EF EDUCATION FIRST,10008862346
BENOOT,Tiesj,11/03/1994,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10007750280
BEPPU,Fumiyuki,10/04/1983,Male,WTT,(Jpn),TFS,TREK - SEGAFREDO,10002523596
BERGEN,Sara,06/12/1988,Female,CTW,(Can),RLW,RALLY UHC CYCLING,10014600807
BERHANE,Natnael,05/01/1991,Male,PCT,(Eri),COF,COFIDIS SOLUTIONS CREDITS,10007240325
BERNAL GOMEZ,Egan Arley,13/01/1997,Male,WTT,(Col),SKY,TEAM SKY,10009584489
BERNARD,Julien,17/03/1992,Male,WTT,(Fra),TFS,TREK - SEGAFREDO,10010034935
BERNAS,Pawel,24/05/1990,Male,WTT,(Pol),CPT,CCC TEAM,10006492314
BERRADE FERNANDEZ,Urko,28/11/1997,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10042478506
BERTAZZO,Liam,17/02/1992,Male,PCT,(Ita),THR,THARCOR,10006903754
BERTEAU,Victoire,16/08/2000,Female,CTW,(Fra),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10015338916
BERTIZZOLO,Sofia,21/08/1997,Female,CTW,(Ita),TVC,TEAM VIRTU CYCLING,10010660785
BETANCUR,Carlos,13/10/1989,Male,WTT,(Col),MOV,MOVISTAR TEAM,10006916282
BETTIOL,Alberto,29/10/1993,Male,WTT,(Ita),EF1,EF EDUCATION FIRST,10008663090
BEVERIDGE,Allison,01/06/1993,Female,CTW,(Can),RLW,RALLY UHC CYCLING,10007211528
BEVILACQUA,Simone,22/02/1997,Male,PCT,(Ita),THR,THARCOR,10009974816
BEVIN,Patrick,15/02/1991,Male,WTT,(NZl),CPT,CCC TEAM,10006480388
BEWLEY,Sam,22/07/1987,Male,WTT,(NZl),MTS,MITCHELTON - SCOTT,10004404790
BIANNIC,Aude,27/03/1991,Female,CTW,(Fra),MOV,MOVISTAR TEAM WOMEN,10006579715
BIDARD,François,19/03/1992,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10009363817
BIERMANS,Jenthe,30/10/1995,Male,WTT,(Bel),TKA,TEAM KATUSHA ALPECIN,10008663393
BILBAO LOPEZ DE ARMENTIA,Pello,25/02/1990,Male,WTT,(Spa),AST,ASTANA PRO TEAM,10007609228
BIRYUKOVA,Julia,24/01/1998,Female,CTW,(Ukr),LCW,LVIV CYCLING TEAM,10010853169
BISOLTI,Alessandro,07/03/1985,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10005390958
BIZHIGITOV,Zhandos,10/06/1991,Male,WTT,(Kaz),AST,ASTANA PRO TEAM,10007219309
BIZKARRA ETXEGIBEL,Mikel,21/08/1989,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10007609329
BJERG,Mikkel,03/11/1998,Male,PCT,(Den),HBA,HAGENS BERMAN AXEON,10015825936
BLAAK,Chantal,22/10/1989,Female,CTW,(Ned),DLT,BOELS DOLMANS CYCLINGTEAM,10005498264
BLAIS,Marie Soleil,21/11/1988,Female,CTW,(Can),ASA,ASTANA WOMEN'S TEAM,10052012188
BLANCO CALBET,Iurani,03/02/1998,Female,CTW,(Spa),SWT,SOPELA WOMEN'S TEAM,10010198825
BLYTHE,Adam,01/10/1989,Male,WTT,(GBr),LTS,LOTTO SOUDAL,10004778141
BOARO,Manuele,12/03/1987,Male,WTT,(Ita),AST,ASTANA PRO TEAM,10003272520
BODNAR,Maciej,07/03/1985,Male,WTT,(Pol),BOH,BORA - HANSGROHE,10003349312
BOECKMANS,Kris,13/02/1987,Male,PCT,(Bel),VCB,VITAL CONCEPT - B&B HOTELS,10006088348
BOEV,Igor,22/11/1989,Male,PCT,(Rus),GAZ,GAZPROM - RUSVELO,10005914758
BOHLI,Tom,17/01/1994,Male,WTT,(Swi),UAD,UAE TEAM EMIRATES,10008664508
BOHORQUEZ SANCHEZ,Hernando,22/06/1992,Male,WTT,(Col),AST,ASTANA PRO TEAM,10008664609
BOILARD,Simone,21/07/2000,Female,CTW,(Can),T20,SHO - AIR TWENTY20,10051192843
BOL,Cees,27/07/1995,Male,WTT,(Ned),SUN,TEAM SUNWEB,10009403324
BOL,Jetse,08/09/1989,Male,PCT,(Ned),BBH,BURGOS - BH,10048454413
BOLE,Grega,13/08/1985,Male,WTT,(Slo),TBM,BAHRAIN - MERIDA,10002833188
BONDAR,Viktoriya,25/09/1995,Female,CTW,(Ukr),LCW,LVIV CYCLING TEAM,10009258531
BONGIORNO,Francesco Manuel,01/09/1990,Male,PCT,(Ita),THR,THARCOR,10006569611
BONIFAZIO,Niccolò,29/10/1993,Male,PCT,(Ita),TDE,DIRECT ENERGIE,10007500710
BONNAMOUR,Franck,20/06/1995,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10009575496
BONNET,William,25/06/1982,Male,WTT,(Fra),GFC,GROUPAMA - FDJ,10002261700
BOOGAARD,Maaike,24/08/1998,Female,CTW,(Ned),BTC,BTC CITY LJUBLJANA,10010200946
BOOKWALTER,Brent,16/02/1984,Male,WTT,(USA),MTS,MITCHELTON - SCOTT,10003299293
BOOM,Lars,30/12/1985,Male,PCT,(Ned),ROC,ROOMPOT - CHARLES,10002833491
BORTOLOTTI,Simona,06/12/1994,Female,CTW,(Ita),CZF,CONCERIA ZABRI - FANINI,10008636519
BOSWELL,Ian,07/02/1991,Male,WTT,(USA),TKA,TEAM KATUSHA ALPECIN,10006118862
BOU COMPANY,Joan,16/01/1997,Male,PCT,(Spa),NIP,NIPPO - VINI FANTINI - FAIZANE',10014739940
BOUCHARD,Geoffrey,01/04/1992,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10011942704
BOUDAT,Thomas,24/02/1994,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10007900026
BOUET,Maxime,03/11/1986,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10003073769
BOUHANNI,Nacer,25/07/1990,Male,PCT,(Fra),COF,COFIDIS SOLUTIONS CREDITS,10005961440
BOUHANNI,Rayane,24/02/1996,Male,PCT,(Fra),COF,COFIDIS SOLUTIONS CREDITS,10009808603
BOUWMAN,Koen,02/12/1993,Male,WTT,(Ned),TJV,TEAM JUMBO - VISMA,10008653996
BRAAM,Danique,05/09/1995,Female,CTW,(Ned),LSL,LOTTO SOUDAL LADIES,10013775192
BRAMBILLA,Gianluca,22/08/1987,Male,WTT,(Ita),TFS,TREK - SEGAFREDO,10005818162
BRAND,Lucinda,02/07/1989,Female,CTW,(Ned),SUN,TEAM SUNWEB,10006605680
BRAND,Sam,27/02/1991,Male,PCT,(GBr),TNN,TEAM NOVO NORDISK,10015809869
BRAVARD,Charlotte,12/01/1992,Female,CTW,(Fra),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10007605891
BRAVEC,Urska,14/12/1996,Female,CTW,(Slo),BTC,BTC CITY LJUBLJANA,10048407024
BRAVO OIARBIDE,Garikoitz,31/07/1989,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10005750161
BRENNAUER,Lisa,08/06/1988,Female,CTW,(Ger),WNT,WNT ROTOR PRO CYCLING TEAM,10004602935
BRESCHEL,Matti,31/08/1984,Male,WTT,(Den),EF1,EF EDUCATION FIRST,10002670514
BRESCIANI,Michael,20/12/1994,Male,PCT,(Ita),BRD,BARDIANI CSF,10008983291
BRITTON,Robert,22/09/1984,Male,PCT,(Can),RLY,RALLY UHC CYCLING,10003127323
BROCHNER NIELSEN,Nicolai Philip,04/07/1993,Male,PCT,(Den),RIW,RIWAL READYNEZ CYCLING TEAM,10007964589
BROGI,Angelica,20/10/1998,Female,CTW,(Ita),VAI,AROMITALIA - BASSO BIKES - VAIANO,10015659117
BROWN,Grace,07/07/1992,Female,CTW,(Aus),MTS,MITCHELTON SCOTT,10014329207
BROWN,Jonathan,20/04/1997,Male,PCT,(USA),HBA,HAGENS BERMAN AXEON,10011108807
BROWN,Nathan,07/07/1991,Male,WTT,(USA),EF1,EF EDUCATION FIRST,10006467254
BRUDERER COFIÑO,Nicolle,15/08/1993,Female,CTW,(Gua),TIB,TEAM TIBCO - SILICON VALLEY BANK,10008939138
BUCHMANN,Emanuel,18/11/1992,Male,WTT,(Ger),BOH,BORA - HANSGROHE,10007988235
BUIJSMAN,Nina,16/11/1997,Female,CTW,(Ned),PHV,PARKHOTEL VALKENBURG,10014185020
BUJAK,Eugenia,25/06/1989,Female,CTW,(Slo),BTC,BTC CITY LJUBLJANA,10006412589
BURGAUDEAU,Mathieu,17/11/1998,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10014947579
BURGHARDT,Marcus,30/06/1983,Male,WTT,(Ger),BOH,BORA - HANSGROHE,10002416492
BUSATO,Matteo,20/12/1987,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10004509470
BUURMAN,Eva,07/09/1994,Female,CTW,(Ned),DLT,BOELS DOLMANS CYCLINGTEAM,10010638557
BYSTRØM,Sven Erik,21/01/1992,Male,WTT,(Nor),UAD,UAE TEAM EMIRATES,10006875563
CABEDO CARDA,Oscar,12/11/1994,Male,PCT,(Spa),BBH,BURGOS - BH,10014208258
CAICEDO,Jonathan,28/04/1993,Male,WTT,(Ecu),EF1,EF EDUCATION FIRST,10009484358
CALABRIA,Fabio,27/08/1987,Male,PCT,(Aus),TNN,TEAM NOVO NORDISK,10006232636
CALMEJANE,Lilian,06/12/1992,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10008895183
CAM,Maxime,09/07/1992,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10009697859
CAMPENAERTS,Victor,28/10/1991,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10008913371
CAÑELLAS SANCHEZ,Xavier,16/03/1997,Male,PCT,(Spa),CJR,CAJA RURAL - SEGUROS RGA,10009991687
CANOLA,Marco,26/12/1988,Male,PCT,(Ita),NIP,NIPPO - VINI FANTINI - FAIZANE',10005397224
CANUEL,Karol-Ann,18/04/1988,Female,CTW,(Can),DLT,BOELS DOLMANS CYCLINGTEAM,10004616574
CANVELLI,Vania,21/10/1997,Female,CTW,(Ita),BPK,BEPINK,10014964858
CAPIOT,Amaury,25/06/1993,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10008666932
CARAPAZ,Richard,29/05/1993,Male,WTT,(Ecu),MOV,MOVISTAR TEAM,10009165672
CARBONI,Giovanni,31/08/1995,Male,PCT,(Ita),BRD,BARDIANI CSF,10009391503
CARDIS,Romain,12/08/1992,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10007911140
CARPENTER,Robin,20/06/1992,Male,PCT,(USA),RLY,RALLY UHC CYCLING,10007501316
CARRETERO,Hector,28/05/1995,Male,WTT,(Spa),MOV,MOVISTAR TEAM,10015833818
CARTHY,Hugh John,09/07/1994,Male,WTT,(GBr),EF1,EF EDUCATION FIRST,10051858507
CARUSO,Damiano,12/10/1987,Male,WTT,(Ita),TBM,BAHRAIN - MERIDA,10004564337
CASAS CODINA,Julia,01/10/1980,Female,CTW,(Spa),SWT,SOPELA WOMEN'S TEAM,10055984239
CASASOLA,Sara,29/11/1999,Female,CTW,(Ita),SER,SERVETTO - PIUMATE - BELTRAMI TSA,10010998972
CASTRILLO ZAPATER,Jaime,13/03/1996,Male,WTT,(Spa),MOV,MOVISTAR TEAM,10014715486
CASTRIQUE,Alana,08/05/1999,Female,CTW,(Bel),LSL,LOTTO SOUDAL LADIES,10015701351
CASTROVIEJO,Jonathan,27/04/1987,Male,WTT,(Spa),SKY,TEAM SKY,10004617180
CATALDO,Dario,17/03/1985,Male,WTT,(Ita),AST,ASTANA PRO TEAM,10003092765
CATLIN,Kelly,03/11/1995,Female,CTW,(USA),RLW,RALLY UHC CYCLING,10009726353
CATTANEO,Mattia,25/10/1990,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10005839885
CAVAGNA,Rémi,10/08/1995,Male,WTT,(Fra),DQT,DECEUNINCK  -  QUICK - STEP,10009971378
CAVALLI,Marta,18/03/1998,Female,CTW,(Ita),VAL,VALCAR CYLANCE CYCLING,10011143260
CAVENDISH,Mark,21/05/1985,Male,WTT,(GBr),TDD,TEAM DIMENSION DATA,10003292324
CECCHINI,Elena,25/05/1992,Female,CTW,(Ita),CSR,CANYON / /SRAM RACING,10006881122
ERN_,Josef,11/05/1993,Male,WTT,(Cze),CPT,CCC TEAM,10007523241
CERRA,Jessica,01/05/1982,Female,CTW,(USA),HBS,HAGENS BERMAN / SUPERMINT,10009786775
CHABBEY,Elise,24/04/1993,Female,CTW,(Swi),BIG,BIGLA,10045936958
CHAPMAN,Brodie,09/04/1991,Female,CTW,(Aus),TIB,TEAM TIBCO - SILICON VALLEY BANK,10010616834
CHAVES RUBIO,Jhoan Esteban,17/01/1990,Male,WTT,(Col),MTS,MITCHELTON - SCOTT,10007587303
CHEN,Qiaolin,02/09/1996,Female,CTW,(Chn),GPC,CHINA LIV PRO CYCLING,10010041403
CHEREL,Mikael,17/03/1986,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10003078722
CHERKASOV,Nikolai,26/09/1996,Male,PCT,(Rus),GAZ,GAZPROM - RUSVELO,10009986334
CHERNETSKI,Sergei,09/04/1990,Male,PCT,(Rus),CJR,CAJA RURAL - SEGUROS RGA,10006658426
CHETOUT,Loic,23/09/1992,Male,PCT,(Fra),COF,COFIDIS SOLUTIONS CREDITS,10008857393
CHEVRIER,Clément,29/06/1992,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10007516874
CHIA BERMUDEZ,Luis Carlos,18/02/1997,Male,PCT,(Col),MZN,MANZANA POSTOBON TEAM,10010838823
CHRISTIAN,Anna,06/08/1995,Female,CTW,(GBr),DRP,DROPS,10009750096
CHRISTMAS,Danielle,21/12/1987,Female,CTW,(GBr),LSL,LOTTO SOUDAL LADIES,10009315620
CHRISTOFOROU,Antri,02/04/1992,Female,CTW,(Cyp),CGS,COGEAS METTLER LOOK PRO CYCLING TEAM,10007704309
CHURSINA,Anastasiia,07/04/1995,Female,CTW,(Rus),BTC,BTC CITY LJUBLJANA,10008676228
CICCONE,Giulio,20/12/1994,Male,WTT,(Ita),TFS,TREK - SEGAFREDO,10009709175
CILENTI,Sofia,20/01/1995,Female,CTW,(Ita),CZF,CONCERIA ZABRI - FANINI,10009062410
CIMA,Damiano,13/09/1993,Male,PCT,(Ita),NIP,NIPPO - VINI FANTINI - FAIZANE',10008924384
CIMA,Imerio,29/10/1997,Male,PCT,(Ita),NIP,NIPPO - VINI FANTINI - FAIZANE',10009974715
CIPRIANI,Carmela,11/11/1996,Female,CTW,(Ita),VAI,AROMITALIA - BASSO BIKES - VAIANO,10009512953
CLAEYS,Dimitri,18/06/1987,Male,PCT,(Bel),COF,COFIDIS SOLUTIONS CREDITS,10004497649
CLANCY,Stephen,19/07/1992,Male,PCT,(Irl),TNN,TEAM NOVO NORDISK,10008623179
CLARKE,Simon,18/07/1986,Male,WTT,(Aus),EF1,EF EDUCATION FIRST,10003032949
CLARKE,William,11/04/1985,Male,WTT,(Aus),TFS,TREK - SEGAFREDO,10006606589
CLEVENGER,Erica,01/05/1994,Female,CTW,(USA),T20,SHO - AIR TWENTY20,10071822622
CLYNE,Margot,27/02/1995,Female,CTW,(USA),T20,SHO - AIR TWENTY20,10015853824
COBB,Alice,31/07/1995,Female,CTW,(GBr),TIB,TEAM TIBCO - SILICON VALLEY BANK,10013601404
COLBORNE,Henrietta,19/09/1989,Female,CTW,(GBr),BPC,BIEHLER PRO CYCLING,10011042826
COLBRELLI,Sonny,17/05/1990,Male,WTT,(Ita),TBM,BAHRAIN - MERIDA,10006468062
COMBAUD,Romain,01/04/1991,Male,PCT,(Fra),DMP,DELKO MARSEILLE PROVENCE,10006597293
CONCI,Nicola,05/01/1997,Male,WTT,(Ita),TFS,TREK - SEGAFREDO,10014404985
CONFALONIERI,Maria Giulia,30/03/1993,Female,CTW,(Ita),VAL,VALCAR CYLANCE CYCLING,10007278822
CONSONNI,Chiara,24/06/1999,Female,CTW,(Ita),VAL,VALCAR CYLANCE CYCLING,10015660026
CONSONNI,Simone,12/09/1994,Male,WTT,(Ita),UAD,UAE TEAM EMIRATES,10007890730
