code,First_Last,country_short,2018_team
10014858562,Skylar Schneider,(USA),Boels Dolmans Cyclingteam
10009796374,Jip van den Bos,(Ned),Boels Dolmans Cyclingteam
10005972655,Anna van der Breggen,(Ned),Boels Dolmans Cyclingteam
10003454392,Polona Batagelj,(Slo),BTC City Ljubljana
10010200946,Maaike Boogaard,(Ned),BTC City Ljubljana
10048407024,Urska Bravec,(Slo),BTC City Ljubljana
10006412589,Eugenia Bujak,(Slo),BTC City Ljubljana
10010969064,Tanja Elsner,(Slo),BTC City Ljubljana
10008676228,Anastasiia Iakovenko,(Rus),BTC City Ljubljana
10008681581,Corinna Lechner,(Ger),BTC City Ljubljana
10010971589,Hanna Nilsson,(Swe),BTC City Ljubljana
10005970433,Olena Pavlukhina,(Aze),BTC City Ljubljana
10015336488,Karin Penko,(Slo),BTC City Ljubljana
10007859206,Urska Pintar,(Slo),BTC City Ljubljana
10007135140,Mia Radotic,(Cro),BTC City Ljubljana
10015663258,Sasa Zavbi Kunaver,(Slo),BTC City Ljubljana
10009892869,Urska Zigart,(Slo),BTC City Ljubljana
10005492002,Alena Amialiusik,(Blr),Canyon-SRAM Racing
10008130503,Alice Barnes,(GBr),Canyon-SRAM Racing
10007348237,Hannah Barnes,(GBr),Canyon-SRAM Racing
10006881122,Elena Cecchini,(Ita),Canyon-SRAM Racing
10004596770,Tiffany Cromwell,(Aus),Canyon-SRAM Racing
10054395762,Tanja Erath,(Ger),Canyon-SRAM Racing
10006629831,Pauline Ferrand Prevot,(Fra),Canyon-SRAM Racing
10008965814,Lisa Klein,(Ger),Canyon-SRAM Racing
10008682490,Katarzyna Niewiadoma,(Pol),Canyon-SRAM Racing
10010790121,Christa Riffel,(Ger),Canyon-SRAM Racing
10007709460,Alexis Ryan,(USA),Canyon-SRAM Racing
10050738660,Leah Thorvilson,(USA),Canyon-SRAM Racing
10002059414,Trixi Worrack,(Ger),Canyon-SRAM Racing
10007971562,Ann-Sophie Duyck,(Bel),Cervelo Bigla Pro Cycling Team
10004766017,Nicole Hanselmann,(Swi),Cervelo Bigla Pro Cycling Team
10015197456,Emma Norsgaard,(Den),Cervelo Bigla Pro Cycling Team
10009773035,Clara Koppenburg,(Ger),Cervelo Bigla Pro Cycling Team
10006326202,Lotta Pauliina Lepistö,(Fin),Cervelo Bigla Pro Cycling Team
10008683807,Cecilie Uttrup Ludwig,(Den),Cervelo Bigla Pro Cycling Team
10006919619,Ashleigh Moolman-Pasio,(RSA),Cervelo Bigla Pro Cycling Team
10007629840,Claire Rose,(GBr),Cervelo Bigla Pro Cycling Team
10010674125,Marie Vilmann,(Den),Cervelo Bigla Pro Cycling Team
10006840302,Yue Bai,(Chn),China Liv Pro Cycling
10010041403,Qiaolin Chen,(Chn),China Liv Pro Cycling
10009173857,Jiaqi Li,(Chn),China Liv Pro Cycling
10006401879,Hongyu Liang,(Chn),China Liv Pro Cycling
10009203664,Dexiang Liu,(Chn),China Liv Pro Cycling
10010915110,Jiali Liu,(Chn),China Liv Pro Cycling
10023483175,Mei Lu,(Chn),China Liv Pro Cycling
10063016941,Siying Lu,(Chn),China Liv Pro Cycling
10006083294,Zhaojuan Meng,(HKg),China Liv Pro Cycling
10069650832,Wu Peixiao,(Chn),China Liv Pro Cycling
10009043212,Yixian Pu,(Chn),China Liv Pro Cycling
10006402182,Xue Sun,(Chn),China Liv Pro Cycling
10009391095,Xi Sha Zhao,(Chn),China Liv Pro Cycling
10006808774,Ekaterina Anoshina,(Rus),Cogeas
10004623244,Evgenia Augustinas,(Rus),Cogeas
10045936958,Elise Chabbey,(Swi),Cogeas
10007704309,Antri Christoforou,(Cyp),Cogeas
10010179021,Karina Kasenova,(Rus),Cogeas
10014629705,Maria Novolodskaya,(Rus),Cogeas
10008659151,Kseniya Tuhai,(Blr),Cogeas
10001441139,Olga Zabelinskaya,(Rus),Cogeas
10050642468,Lisa Allkokondi,(Alb),Conceria Zabri-Fanini
10009512953,Carmela Cipriani,(Ita),Conceria Zabri-Fanini
10010970882,Manuela de Iuliis,(Ita),Conceria Zabri-Fanini
10055713952,Keti Fetishi,(Alb),Conceria Zabri-Fanini
10009821737,Elena Franchi,(Ita),Conceria Zabri-Fanini
10072362990,Joli Karafili,(Alb),Conceria Zabri-Fanini
10072362182,Xhorxhia Kristollari,(Alb),Conceria Zabri-Fanini
10050643074,Xhejna Metalja,(Alb),Conceria Zabri-Fanini
10015660329,Claudia Meucci,(Ita),Conceria Zabri-Fanini
10050641357,Loreta Pirro,(Alb),Conceria Zabri-Fanini
10055716376,Jona Rizvanolli,(Alb),Conceria Zabri-Fanini
10050642064,Elona Rusta,(Alb),Conceria Zabri-Fanini
10010753543,Marzia Salton Basei,(Ita),Conceria Zabri-Fanini
10011116685,Holly Breck,(USA),Cylance Pro Cycling
10002525317,Giorgia Bronzini,(Ita),Cylance Pro Cycling
10009377961,Krista Doebel-Hickok,(USA),Cylance Pro Cycling
10007762408,Jelena Eric,(Srb),Cylance Pro Cycling
10008651572,Sheyla Gutierrez,(Spa),Cylance Pro Cycling
10006607906,Kaitlin Keough,(USA),Cylance Pro Cycling
10007524352,Rossella Ratto,(Ita),Cylance Pro Cycling
10008838401,Lauren Stephens,(USA),Cylance Pro Cycling
10005886466,Marta Tagliaferro,(Ita),Cylance Pro Cycling
10008652683,Kim De Baat,(Bel),Doltcini-Van Eyck Sport
10004619002,Sofie De Vuyst,(Bel),Doltcini-Van Eyck Sport
10009861951,Mieke Docx,(Bel),Doltcini-Van Eyck Sport
10009135158,Demmy Druyts,(Bel),Doltcini-Van Eyck Sport
10004779353,Kelly Druyts,(Bel),Doltcini-Van Eyck Sport
10010979269,Sarah Inghelbrecht,(Bel),Doltcini-Van Eyck Sport
10004629510,Pascale Jeuland,(Fra),Doltcini-Van Eyck Sport
10015702361,Ditte Lenseclaes,(Bel),Doltcini-Van Eyck Sport
10007296505,Kelly Markus,(Ned),Doltcini-Van Eyck Sport
10007742196,Daniela Reis,(Por),Doltcini-Van Eyck Sport
10006824740,Tetiana Riabchenko,(Ukr),Doltcini-Van Eyck Sport
10008650764,Marion Sicot,(Fra),Doltcini-Van Eyck Sport
10006659941,Lotte van Hoek,(Ned),Doltcini-Van Eyck Sport
10011232075,Bryony van Velzen,(Ned),Doltcini-Van Eyck Sport
10009135057,Saartje Vandenbroucke,(Bel),Doltcini-Van Eyck Sport
10007504750,Beatrice Bartelloni,(Ita),Still Bike Team A.S.Dilettantistica
10008668144,Ana Maria Covrig,(Rom),Eurotarget-Bianchi-Vitasana
10015496136,Nicole d'Agostin,(Ita),Still Bike Team A.S.Dilettantistica
10008672689,Arianna Fidanza,(Ita),Still Bike Team A.S.Dilettantistica
10015662349,Martina Fidanza,(Ita),Still Bike Team A.S.Dilettantistica
10010970983,Alice Gasparini,(Ita),Still Bike Team A.S.Dilettantistica
10010181344,Gloria Manzoni,(Ita),Still Bike Team A.S.Dilettantistica
10014966070,Paola Panzeri,(Ita),Still Bike Team A.S.Dilettantistica
10015659319,Anna Pedroni,(Ita),Still Bike Team A.S.Dilettantistica
10014963040,Debora Silvestri,(Ita),Still Bike Team A.S.Dilettantistica
10009521643,Manon Bakker,(Ned),Experza-Footlogix
10011076168,Nathalie Bex,(Bel),Experza-Footlogix
10007917608,Thalita De Jong,(Ned),Experza-Footlogix
10007359149,Jessy Druyts,(Bel),Experza-Footlogix
10009972590,Lenny Druyts,(Bel),Experza-Footlogix
10009493553,Axelle Dubau Prevot,(Fra),Experza-Footlogix
10008671578,Severine Eraud,(Fra),Experza-Footlogix
10014535735,Trine Holmsgaard,(Den),Experza-Footlogix
10005436529,Sara Mustonen Lichan,(Swe),Experza-Footlogix
10007217083,Sarah Rijkes,(Aut),Experza-Footlogix
10014217958,Lotte Rotman,(Bel),Experza-Footlogix
10011115372,Agnieszka Skalniak,(Pol),Experza-Footlogix
10006881324,Susanna Zorzi,(Ita),Experza-Footlogix
10007605891,Charlotte Bravard,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10007773825,Coralie Demay,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10007742705,Eugénie Duval,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10006578907,Roxane Fournier,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10007126551,Shara Gillow,(Aus),FDJ Nouvelle-Aquitaine Futuroscope
10009877008,Maelle Grossetete,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10009902367,Victorie Guilman,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10005971645,Lauren Kitchen,(Aus),FDJ Nouvelle-Aquitaine Futuroscope
10010941277,Evita Muzic,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10009817895,Greta Richioud,(Fra),FDJ Nouvelle-Aquitaine Futuroscope
10005862622,Rozanne Slik,(Ned),FDJ Nouvelle-Aquitaine Futuroscope
10007127258,Moniek Tenniglo,(Ned),FDJ Nouvelle-Aquitaine Futuroscope
10010009976,Whitney Allison,(USA),Hagens Berman-Supermint
10009786775,Jessica Cerra,(USA),Hagens Berman-Supermint
10015810374,Tarah Cole,(USA),Hagens Berman-Supermint
10008951565,Lindsay Goldman,(USA),Hagens Berman-Supermint
10010654422,Mandy Heintz,(USA),Hagens Berman-Supermint
10006676715,Julie Kuliecza,(USA),Hagens Berman-Supermint
10015853723,Jennifer Luebke,(USA),Hagens Berman-Supermint
10005482908,Peta Mullens,(Aus),Hagens Berman-Supermint
10005610220,Liza Rachetto,(USA),Hagens Berman-Supermint
10010010178,Starla Teddergreen,(USA),Hagens Berman-Supermint
10045969492,Lily Williams,(USA),Hagens Berman-Supermint
10015221506,Delphine Brits,(Bel),Health Mate-Cyclelive Team
10010171139,Megan Chard,(GBr),Health Mate-Cyclelive Team
10013894828,Fien De Paepe,(Bel),Health Mate-Cyclelive Team
10010979168,Tara Gins,(Bel),Health Mate-Cyclelive Team
10009154861,Spela Kern,(Slo),Health Mate-Cyclelive Team
10013715174,Desiree Liegeois,(Ned),Health Mate-Cyclelive Team
10009596314,Olena Novikova,(Ukr),Health Mate-Cyclelive Team
10007510511,Christina Perchtold,(Aut),Health Mate-Cyclelive Team
10009862355,Christina Schweinberger,(Aut),Health Mate-Cyclelive Team
10009862254,Kathrin Schweinberger,(Aut),Health Mate-Cyclelive Team
10009138188,Chloë Turblin,(Fra),Health Mate-Cyclelive Team
10009711906,Laura Vainionpää,(Fin),Health Mate-Cyclelive Team
10008652784,Janine van der Meer,(Ned),Health Mate-Cyclelive Team
10014848660,Marieke van Witzenburg,(Ned),Health Mate-Cyclelive Team
10010779714,Lore Verstraete,(Bel),Health Mate-Cyclelive Team
10011047573,Susanne Andersen,(Nor),Hitec Products-Birk Sport
10002523701,Charlotte Becker,(Ger),Hitec Products-Birk Sport
10005497254,Simona Frapporti,(Ita),Hitec Products-Birk Sport
10010171543,Ingvild Gåskjenn,(Nor),Hitec Products-Birk Sport
10002741545,Tatiana Guderzo,(Ita),Hitec Products-Birk Sport
10013943631,Line Marie Gulliksen,(Nor),Hitec Products-Birk Sport
10007874057,Vita Heine,(Nor),Hitec Products-Birk Sport
10004735806,Nina Kessler,(Ned),Hitec Products-Birk Sport
10008683403,Ingrid Lorvik,(Nor),Hitec Products-Birk Sport
10015262427,Ingrid Moe,(Nor),Hitec Products-Birk Sport
10009722717,Camilla Møllebro,(Den),Hitec Products-Birk Sport
10013943833,Julie Solvang,(Nor),Hitec Products-Birk Sport
10006875765,Thea Thorsen,(Nor),Hitec Products-Birk Sport
10009371392,Isabelle Beckers,(Bel),Lotto Soudal Ladies
10015701351,Alana Castrique,(Bel),Lotto Soudal Ladies
10008668952,Demi de Jong,(Ned),Lotto Soudal Ladies
10005489473,Elise Delzenne,(Fra),Lotto Soudal Ladies
10008669457,Valerie Demey,(Bel),Lotto Soudal Ladies
10007860014,Annelies Dom,(Bel),Lotto Soudal Ladies
10009733932,Anabelle Dreville,(Fra),Lotto Soudal Ladies
10004628294,Chantal Hoffmann,(Lux),Lotto Soudal Ladies
10007350459,Lotte Kopecky,(Bel),Lotto Soudal Ladies
10014974154,Puck Moonen,(Ned),Lotto Soudal Ladies
10009495371,Marjolein van 'T Geloof,(Ned),Lotto Soudal Ladies
10016491596,Julie Van De Velde,(Bel),Lotto Soudal Ladies
10008698860,Kelly Van Den Steen,(Bel),Lotto Soudal Ladies
10010969771,Fenna Vanhoutte,(Bel),Lotto Soudal Ladies
10009050888,Krystsina Bialetskaya,(Blr),Minsk Cycling Club
10009683715,Anastasiya Dzedzikava,(Blr),Minsk Cycling Club
10015981944,Nastassia Kiptsikava,(Blr),Minsk Cycling Club
10009050484,Maryna Kuchynskaya,(Blr),Minsk Cycling Club
10009049171,Taisa Naskovich,(Blr),Minsk Cycling Club
10009683917,Anastasia Safonava,(Blr),Minsk Cycling Club
10002669605,Tatsiana Sharakova,(Blr),Minsk Cycling Club
10010177910,Hanna Tserah,(Blr),Minsk Cycling Club
10007227490,Jessica Allen,(Aus),Mitchelton Scott Women
10010089600,Jenelle Crooks,(Aus),Mitchelton Scott Women
10004779050,Jolien D'Hoore,(Bel),Mitchelton Scott Women
10005763194,Gracie Elvin,(Aus),Mitchelton Scott Women
10014838556,Lucy Kennedy,(Aus),Mitchelton Scott Women
10009115253,Alexandra Manly,(Aus),Mitchelton Scott Women
10009457076,Sarah Roy,(Aus),Mitchelton Scott Women
10003270601,Amanda Spratt,(Aus),Mitchelton Scott Women
10006065514,Annemiek van Vleuten,(Ned),Mitchelton Scott Women
10007230726,Georgia Williams,(NZl),Mitchelton Scott Women
10006579715,Aude Biannic,(Fra),Movistar Team Women
10039854755,Margarita Victoria Garcia,(Spa),Movistar Team Women
10008601860,Alicia Gonzalez,(Spa),Movistar Team Women
10004520079,Malgorzata Jasinska,(Pol),Movistar Team Women
10011907338,Lorena Llamas,(Spa),Movistar Team Women
10042147793,Eider Merino,(Spa),Movistar Team Women
10007342476,Rachel Neylan,(Aus),Movistar Team Women
10008651168,Lourdes Oyarbide,(Spa),Movistar Team Women
10006886172,Gloria Rodriguez,(Spa),Movistar Team Women
10009804155,Alba Teruel,(Spa),Movistar Team Women
10014185020,Nina Buijsman,(Ned),Parkhotel Valkenburg
10005873332,Sophie De Boer,(Ned),Parkhotel Valkenburg
10023130440,Belle De Gast,(Ned),Parkhotel Valkenburg
10011026658,Anne De Ruiter,(Ned),Parkhotel Valkenburg
10009388368,Ilona Hoeksma,(Ned),Parkhotel Valkenburg
10015510078,Marit Raaijmakers,(Ned),Parkhotel Valkenburg
10007751795,Amy Roberts,(GBr),Parkhotel Valkenburg
10006645995,Ganna Solovei,(Ukr),Parkhotel Valkenburg
10009796475,Chanella Stougje,(Ned),Parkhotel Valkenburg
10015705189,Meike Uiterwijk Winkel,(Ned),Parkhotel Valkenburg
10013791865,Nancy Van Der Burg,(Ned),Parkhotel Valkenburg
10007073708,Natalie Van Gogh,(Ned),Parkhotel Valkenburg
10013771758,Esther Van Veen,(Ned),Parkhotel Valkenburg
10014173300,Lorena Wiebes,(Ned),Parkhotel Valkenburg
10063612176,Erica Allar,(USA),Rally Cycling
10014600807,Sara Bergen,(Can),Rally Cycling
10007211528,Allison Beveridge,(Can),Rally Cycling
10009726353,Kelly Catlin,(USA),Rally Cycling
10010116373,Gillian Ellsay,(Can),Rally Cycling
10049920527,Heidi Franz,(USA),Rally Cycling
10016216158,Megan Heath,(USA),Rally Cycling
10009142030,Kirsti Lay,(Can),Rally Cycling
10010116575,Katherine Maine,(Can),Rally Cycling
10009711300,Abigail Mickey,(USA),Rally Cycling
10016189280,Summer Moak,(USA),Rally Cycling
10010972805,Sara Poidevin,(Can),Rally Cycling
10009354319,Emma White,(USA),Rally Cycling
10008138583,Francesca Balducci,(Ita),SC Michela Fanini
10053840741,Sara Barbieri,(Ita),SC Michela Fanini
10011226924,Anna Ceoloni,(Ita),SC Michela Fanini
10007738257,Lilibeth Chacon,(Ven),SC Michela Fanini
10014787026,Alessia Dal Magro,(Ita),SC Michela Fanini
10014962535,Elisa Dalla Valle,(Ita),SC Michela Fanini
10015661945,Leonora Geppi,(Ita),SC Michela Fanini
10002877749,Mónika Király,(Hun),SC Michela Fanini
10014963848,Greta Marturano,(Ita),SC Michela Fanini
10008694921,Olga Shekel,(Ukr),SC Michela Fanini
10010998972,Sara Casasola,(Ita),Servetto-Stradalli Cycle-Alurecycling
10072599430,Marika Depetris,(Ita),Servetto-Stradalli Cycle-Alurecycling
10007900632,Kseniia Dobrynina,(Rus),Servetto-Stradalli Cycle-Alurecycling
10009640871,Katja Jeretina,(Slo),Servetto-Stradalli Cycle-Alurecycling
10072599531,Francesca Marengo,(Ita),Servetto-Stradalli Cycle-Alurecycling
10032737783,Barbara Milone,(Ita),Servetto-Stradalli Cycle-Alurecycling
10015391658,Rosalia Ortiz,(Spa),Servetto-Stradalli Cycle-Alurecycling
10009038360,Jessica Marcela Parra,(Col),Servetto-Stradalli Cycle-Alurecycling
10006059349,Anna Potokina,(Rus),Servetto-Stradalli Cycle-Alurecycling
10007256287,Ana Cristina Sanabria,(Col),Servetto-Stradalli Cycle-Alurecycling
10010198421,Paula Sanmartin,(Spa),Servetto-Stradalli Cycle-Alurecycling
10009489513,Femke Verstichelen,(Bel),Servetto-Stradalli Cycle-Alurecycling
10009803953,Olatz Agorria,(Spa),Sopela Women's Team
10015391355,Maialen Aramendia,(Spa),Sopela Women's Team
10011153566,Esther Cañete,(Spa),Sopela Women's Team
10010579650,Beatriu Gomez,(Spa),Sopela Women's Team
10009515983,Ziortza Isasi,(Spa),Sopela Women's Team
10010778502,Enara Lopez,(Spa),Sopela Women's Team
10016311744,Sara Martin,(Spa),Sopela Women's Team
10015577574,Maria Martins,(Por),Sopela Women's Team
10015524731,Mireia Muñoz,(Spa),Sopela Women's Team
10011037772,Sofia Rodriguez,(Spa),Sopela Women's Team
10010784865,Soraia Silva,(Por),Sopela Women's Team
10039711376,Ariadna Trias,(Spa),Sopela Women's Team
10007702285,Bethany Crumpton,(GBr),Storey Racing
10010171341,Monica Dew,(GBr),Storey Racing
10009909037,Hannah Dines,(GBr),Storey Racing
10010959768,Rebecca Durrell,(GBr),Storey Racing
10010781532,Neah Evans,(GBr),Storey Racing
10010965226,Elizabeth-Jane Harris,(GBr),Storey Racing
10009417569,Ffion James,(GBr),Storey Racing
10015470672,Anna Kay,(GBr),Storey Racing
10018895580,Joscelin Lowden,(GBr),Storey Racing
10016029939,Chanel Mason,(GBr),Storey Racing
10009513862,Emily Nelson,(GBr),Storey Racing
10004882316,Sarah Storey,(GBr),Storey Racing
10015717115,Anet Barrera,(Mex),Swapit Agolico
10006893246,Ana Teresa Casas,(Mex),Swapit Agolico
10016005788,Cinthya Teresita Covarrubias,(Mex),Swapit Agolico
10015205237,Odemaris Denisse Mancilla,(Mex),Swapit Agolico
10053222163,Paola Andrea Muñoz,(Chi),Swapit Agolico
10008956417,Marcela Elizabeth Prieto,(Mex),Swapit Agolico
10016002960,Andrea Ramírez,(Mex),Swapit Agolico
10009196590,Lizbeth Yareli Salazar,(Mex),Swapit Agolico
10057794200,Maria Jose Vargas,(CRc),Swapit Agolico
10009748278,Nikola Bajgerová,(Cze),Team Dukla Praha Women
10015286271,Ema Cetkovská,(Cze),Team Dukla Praha Women
10015141377,Barbora Dzerengová,(Cze),Team Dukla Praha Women
10006602246,Lucie Hochmann,(Cze),Team Dukla Praha Women
10010777791,Katerina Kohoutková,(Cze),Team Dukla Praha Women
10015208267,Tereza Korvasová,(Cze),Team Dukla Praha Women
10004738937,Jarmila Machacová,(Cze),Team Dukla Praha Women
10007149789,Martina Mikulásková,(Cze),Team Dukla Praha Women
10010181849,Tereza Neumanová,(Cze),Team Dukla Praha Women
10015772382,Dana Pospisilová,(Cze),Team Dukla Praha Women
10013443069,Melissa Van Neck,(Cze),Team Dukla Praha Women
10015534431,Grace Anderson,(NZl),Team Illuminate
10064337858,Libby Caldwell,(USA),Team Illuminate
10014618991,Georgia Catterick,(NZl),Team Illuminate
10060882941,Amity Gregg,(USA),Team Illuminate
10015011843,Mikayla Harvey,(NZl),Team Illuminate
10014537856,Shoko Kashiki,(Jpn),Team Illuminate
10010975128,Kemille King,(USA),Team Illuminate
10015149865,Lexie Millard,(USA),Team Illuminate
10005326492,Katerina Nash,(Cze),Team Illuminate
10006605680,Lucinda Brand,(Ned),Team Sunweb Women
10006456443,Leah Kirchmann,(Can),Team Sunweb Women
10009749894,Juliette Labous,(Fra),Team Sunweb Women
10014049523,Liane Lippert,(Ger),Team Sunweb Women
10008684312,Floortje Mackaij,(Ned),Team Sunweb Women
10009637134,Pernille Mathiesen,(Den),Team Sunweb Women
10006131693,Coryn Rivera,(USA),Team Sunweb Women
10008648239,Julia Soek,(Ned),Team Sunweb Women
10003264335,Ellen van Dijk,(Ned),Team Sunweb Women
10007501518,Ruth Winder,(USA),Team Sunweb Women
10007619938,Lex Albrecht,(Can),Team Tibco-Silicon Valley Bank
10008939138,Nicolle Bruderer,(Gua),Team Tibco-Silicon Valley Bank
10011203480,Kathryn Buss,(USA),Team Tibco-Silicon Valley Bank
10013601404,Alice Cobb,(GBr),Team Tibco-Silicon Valley Bank
10007199707,Ingrid Drexel,(Mex),Team Tibco-Silicon Valley Bank
10007223046,Emma Grant,(GBr),Team Tibco-Silicon Valley Bank
10009686038,Alison Jackson,(Can),Team Tibco-Silicon Valley Bank
10009991586,Shannon Malseed,(Aus),Team Tibco-Silicon Valley Bank
10055839042,Emily Newsom,(USA),Team Tibco-Silicon Valley Bank
10006655392,Kendall Ryan,(USA),Team Tibco-Silicon Valley Bank
10010885707,Jennifer Tetrick,(USA),Team Tibco-Silicon Valley Bank
10058996592,Elizabeth Williams,(Aus),Team Tibco-Silicon Valley Bank
10015360134,Katrine Aalerud,(Nor),Team Virtu Cycling
10005886365,Barbara Guarischi,(Ita),Team Virtu Cycling
